,time-time-1,time-time-2,time-time-3,time-time-6,time-time-9,time-time-12,time-time-24,time-time-36,time-time-48,time-time-60,time-time-72,time-time-84,time-time-96,time-time-108,time-time-120,time-time-180,time-time-240,time-time-360,time-time-480,time-time-600
2009-01-12,0.699380173276431,0.743332462424902,0.7799342944740153,0.8569099151570627,0.9017364720390955,0.9289196239819695,0.9871392899325647,1.0525878618041806,1.1381422389916396,1.2354779880695488,1.3379801786551715,1.4415778520966904,1.543789363025476,1.6430808774230028,1.7385112682853396,2.1461665609578158,2.443348592283268,2.8111154784555143,3.014152039083606,3.138549237273162
2009-02-11,0.7253666204259364,0.7899465098746109,0.8344350116738267,0.905378037911865,0.9418239586639439,0.973078207641362,1.1228870464072045,1.2908181165856922,1.4549626989201474,1.609775323141841,1.7539834156581475,1.8875649290230527,2.010947519428125,2.1247340049446226,2.229589080480492,2.642622121316507,2.920238707732659,3.2486514001726765,3.426417338584416,3.5349350827733748
2009-03-11,0.5760881750811984,0.6614556785864711,0.7060364174896241,0.7476869881174271,0.7646422824924297,0.7904756068471712,0.9565459776074206,1.1437243750633006,1.3240948513772042,1.4928419252452776,1.6492467498668986,1.7936751044811068,1.9268316416056177,2.049518033814456,2.1625416320259507,2.6081688220130927,2.9077902940009475,3.256717036487912,3.43578416907299,3.5377726599998516
2009-04-10,0.8171444735502401,0.8193685290518884,0.8225566838324067,0.8373551527311327,0.8589557443235808,0.8861659883532216,1.0326392944551743,1.2087501033686237,1.390004716889281,1.5643213641614473,1.7264293406418172,1.8746731396053624,2.0092158888248806,2.131050299224021,2.241470643338844,2.6648103671889056,2.9493789186997432,3.2964899947354196,3.473090544047049,3.5497300748706824
2009-05-11,0.6311145458524521,0.7135592635217902,0.7671299177718347,0.8419938205799883,0.8733258735686805,0.900469635013071,1.0502159175900405,1.225990291614103,1.3985140549217119,1.5611301993383915,1.7124363259017772,1.85247911174431,1.9817848398530817,2.1010421021478174,2.210979907714277,2.644693933693124,2.935900611541743,3.2728145806165694,3.4430606428950936,3.5381669368720248
2009-06-11,0.9382401887887302,0.9241090942465257,0.9130426241154623,0.8955112350724033,0.8966944091161819,0.9116662225436392,1.046830424547546,1.2238286417607347,1.399812767027346,1.5634374999844491,1.7131947555358311,1.850227878489775,1.9761013320798122,2.0922044576239163,2.1996576803616605,2.6331485620790454,2.935931783787603,3.2851369316535775,3.4262325185712283,3.4554688087507044
2009-07-10,0.8902212720642219,0.9592378276248761,1.0120131249236388,1.1106628617758043,1.1656483590913898,1.2058925668681266,1.3580698372405247,1.523037738292357,1.6846715062325746,1.8361538926351662,1.975984201838864,2.104319570346639,2.2218507595947554,2.3294278110480735,2.427919830400642,2.8110915459478245,3.0660998908170853,3.3681929736883762,3.532996937574351,3.63412407624812
2009-08-11,1.1461014299562695,1.1718887404206733,1.19731472479557,1.27148472698342,1.3426145002928627,1.4108538380548463,1.657642714971363,1.8683319237990383,2.04941943490196,2.2061694055618934,2.3428454576530613,2.4629002983568977,2.5691297904328207,2.6637980813714317,2.7487391790526035,3.070792329185642,3.2858366429743144,3.537989591809736,3.635883158121205,3.6310197604338397
2009-09-11,1.1912888742927101,1.1994559480093896,1.208605411274091,1.2411723536671782,1.2799807385840054,1.3234570957590568,1.521548536515294,1.7255635410251535,1.9144029031529168,2.0817932789286724,2.2278627436249065,2.3551035733624377,2.4665426232938623,2.564991917532844,2.6528057416592827,2.985055532931498,3.209321129954167,3.4864678048902817,3.6420185087680133,3.7380713797860787
2009-10-10,1.1956067345282628,1.2045569358483008,1.2143300368108785,1.2480240275867183,1.2872169404928846,1.33071349456814,1.5296906277893907,1.7400490827606343,1.940637981883535,2.1227744807984354,2.284181216295235,2.42564911694399,2.549250111434989,2.6574188451674248,2.7525123040828063,3.094470303839445,3.309652547196067,3.5691992571487123,3.7168454330833525,3.809385906086197
2009-11-11,1.150858895407156,1.1629211502756642,1.1757188577571416,1.2179874385817504,1.265056326087662,1.3157899833936506,1.5383442701532546,1.765631139842164,1.9784294074247923,2.169392066441583,2.337172921353063,2.483217850448706,2.6100644440501086,2.7204824854893035,2.8170733390361065,3.160213530765189,3.372377147128171,3.624690424284004,3.7669868068062446,3.855933247356755
2009-12-11,1.1396355685215578,1.1557753183110013,1.1722419497540315,1.2232948711873703,1.276250578456734,1.3304691456670512,1.5506071187224457,1.7619539102204564,1.955337636721599,2.128265449469046,2.281404796650955,2.4167240166925823,2.536552606411534,2.643140291327635,2.738478398813257,3.0960577889404024,3.330478669751916,3.612157853874797,3.767777401207324,3.863474198734486
2010-01-11,1.191761003179155,1.2091069882744714,1.2268394110731458,1.281944048794188,1.3391505848189835,1.39763158204857,1.6326579688049485,1.8531680286230867,2.049911225215831,2.2217446134756753,2.3708760472271173,2.500559334793405,2.614055581139362,2.7142274658112626,2.803434290287214,3.138350167725136,3.3611800324378107,3.6334925121779698,3.78547668165516,3.879203548595459
2010-02-11,1.3985724965898878,1.3912737604144765,1.3873777881120604,1.3926672636075377,1.4174270366104602,1.455574632805531,1.6674979664441238,1.8877402548769382,2.077736412609142,2.234891377838069,2.365282207197952,2.4755104808969848,2.5707897246752736,2.65486653923705,2.7303559921496676,3.027340979530096,3.2458315083470213,3.55208270804277,3.7452572172819196,3.8621590228340583
2010-03-11,1.2418978088836792,1.241552441885351,1.2443128396167122,1.2676305824027216,1.3073439269541203,1.3573633196891652,1.5903520129824045,1.804243435730998,1.9775907653200382,2.1180473185517323,2.236309484330562,2.3402288786554752,2.434585299598427,2.522016154772384,2.6038838845075274,2.945052709789829,3.1894844328094565,3.484289072783059,3.6428383588637923,3.739029411234781
2010-04-12,1.2012132584005213,1.2257810604566022,1.2499355909484613,1.3200185909411124,1.3867275696809034,1.4502988530680199,1.6773095408232312,1.8687441238374534,2.0329017620333407,2.175808341634569,2.30186869424904,2.4143299810662615,2.5156108591859665,2.6075352992183314,2.6914987022216406,3.0230857079125912,3.2547157823834594,3.5473100477645643,3.7160792708717785,3.822238499271462
2010-05-11,1.2188044389861816,1.2415845966635004,1.263946132421696,1.3286270504471105,1.3899168006436022,1.4480720956700412,1.653781577696281,1.82507249692193,1.9707277777682437,2.0970064459071764,2.2083826702386706,2.3080690287004275,2.3983866333635953,2.4810266588314045,2.5572349322707,2.8677716946751444,3.0967461619495715,3.4038537561768667,3.5909286153372624,3.7120534963396246
2010-06-11,1.7846652698898944,1.7767543577166682,1.7930869655458261,1.8472317485631509,1.8826276914103595,1.9090797969878317,1.9943861892630173,2.0757891441198097,2.1583050350143864,2.2412873639776856,2.323598219412784,2.4042454261164465,2.4824737945099686,2.557749671625847,2.6297236548512766,2.9363514923007537,3.161351066026644,3.4432837571509154,3.600655182198807,3.697479465857871
2010-07-12,1.6730655502823133,1.6919420515486483,1.710110069821554,1.7607016939136166,1.8060741112645666,1.846972433373801,1.9775799372693281,2.0754160003422877,2.1571640141958337,2.2316212173076577,2.303068300545214,2.3732828707408187,2.4427249841132688,2.5112207496205023,2.5783445427222604,2.8792674547899635,3.1082657517628354,3.393210856172452,3.5487099198643217,3.643341451156407
